Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
PAPSS2	4	0.11997	1.4808	0.44963	0.90866	0.13867	0.60247
NDST4	4	-0.27848	-1.4397	0.42542	0.89904	0.14996	0.60247
NME7	4	0.35977	1.0475	0.050169	0.41117	0.29485	0.62903
SLC22A2	4	0.15718	1.3874	0.3477	0.86665	0.16532	0.60247
INHBB	4	0.17464	1.4918	0.30708	0.84549	0.13576	0.60247
NDUFB8	4	-0.60799	-2.2309	0.093526	0.56778	0.025689	0.35755
TMEM207	4	0.5707	1.2903	0.0016905	0.043928	0.19694	0.60247
ZNF266	4	0.10696	0.69094	0.48941	0.92379	0.48961	0.74641
GPALPP1	4	0.10535	0.81582	0.49438	0.92443	0.4146	0.70212
GRHPR	4	0.13133	0.7911	0.41716	0.89474	0.42888	0.71099
ITSN2	4	-0.0092617	-0.075695	0.86998	0.98708	0.93966	0.97149
TSR2	4	-1.3825	-2.4752	0.0013922	0.037234	0.013318	0.25316
OR2S2	4	0.34936	1.4134	0.056533	0.43798	0.15754	0.60247
