Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
BRCA1	4	-1.2209	-2.4291	0.007856	0.14403	0.015138	0.28054
ARMCX5	4	-0.22283	-1.5281	0.6071	0.94792	0.12649	0.634
SLC10A7	4	0.24783	1.523	0.28033	0.81192	0.12775	0.634
TTC33	4	-0.3999	-1.135	0.31817	0.84297	0.25638	0.63496
OR10P1	4	-0.062869	-0.35305	0.97653	0.99888	0.72405	0.85158
VKORC1L1	4	-0.40216	-1.6727	0.31523	0.84163	0.094382	0.634
BRAF	4	-0.046399	-0.23262	0.97966	0.99934	0.81606	0.90502
DCAF12	4	0.080372	0.75709	0.64668	0.95475	0.449	0.7306
BTBD6	4	0.11976	0.96201	0.54972	0.93455	0.33604	0.66253
TRIB1	4	0.47677	1.2884	0.047434	0.4154	0.19761	0.634
UTP15	4	-2.4404	-3.802	0	0	0.00014352	0.022204
NRAS	4	0.25468	1.139	0.26825	0.8022	0.25471	0.63496
ADCY1	4	0.26152	0.90535	0.25492	0.78913	0.36528	0.67738
PADI1	4	-0.11944	-0.41424	0.83587	0.98743	0.6787	0.8258
CPED1	4	0.17695	1.4081	0.41905	0.89381	0.15909	0.634
SLU7	4	-0.9817	-2.5037	0.024612	0.29211	0.012291	0.24666
C3orf18	4	0.11849	0.63186	0.55236	0.93455	0.52748	0.76824
CACNG8	4	0.1191	0.61417	0.55131	0.93455	0.5391	0.77263
FUT7	4	-0.17889	-0.92768	0.69948	0.9674	0.35357	0.67194
SPDYE2	4	-1.3853	-2.4014	0.0034308	0.087675	0.016332	0.29094
RGS3	4	-0.2231	-1.012	0.6065	0.94792	0.31154	0.65086
OR51I1	4	0.17311	1.1555	0.42736	0.89682	0.24788	0.63489
IFITM1	4	-0.61839	-1.9676	0.12923	0.64263	0.04911	0.48655
TMBIM6	4	-0.27812	-1.6653	0.50244	0.92372	0.095848	0.634
CACTIN	4	-0.1768	-0.68246	0.70446	0.96869	0.49495	0.75627
NLRP13	4	0.38132	1.4122	0.10839	0.60599	0.15789	0.634
ADAD2	4	-0.22873	-0.81809	0.59586	0.94535	0.41331	0.70914
MPG	4	0.034066	0.31002	0.76969	0.98035	0.75654	0.87036
CMTM3	4	-0.073732	-0.63448	0.95112	0.99776	0.52577	0.76785
C7orf71	4	0.053116	0.18559	0.71694	0.97086	0.85277	0.92708
FBXO48	4	0.035822	0.30456	0.76512	0.97932	0.7607	0.87354
QPRT	4	0.13891	1.0652	0.50353	0.92372	0.2868	0.64084
GJA3	4	0.18902	1.436	0.3937	0.88499	0.15101	0.634
AFF4	4	-0.24435	-1.2026	0.56548	0.93746	0.22913	0.634
MIEF1	4	-0.21934	-0.65938	0.61525	0.94951	0.50965	0.76255
FAM114A1	4	-0.05541	-0.17804	0.99607	0.99985	0.85869	0.93045
CDC42EP5	4	0.015213	0.15637	0.81901	0.98694	0.87574	0.94015
MYO1B	4	0.34952	1.1653	0.13708	0.65254	0.24389	0.63489
HIST1H3F	4	-0.20783	-0.75121	0.63937	0.95412	0.45252	0.73243
GRAP2	4	0.4809	1.2827	0.045893	0.41111	0.1996	0.634
SLC22A31	4	-0.069211	-0.59969	0.96181	0.99826	0.54872	0.77651
PTPRD	4	0.23801	1.543	0.29714	0.82724	0.12284	0.634
CWC27	4	-0.039298	-0.23953	0.96166	0.99826	0.8107	0.90261
MED23	4	-1.1338	-2.3061	0.01248	0.19625	0.021103	0.33185
NRIP1	4	0.060536	0.33439	0.6961	0.96699	0.73809	0.8594
MMAA	4	0.34369	1.4478	0.14399	0.66453	0.14767	0.634
BAALC	4	0.049409	0.68967	0.72698	0.97417	0.4904	0.7547
BIN2	4	0.53835	1.1032	0.025209	0.29649	0.26996	0.63805
PIGL	4	-0.047314	-0.3063	0.98175	0.99954	0.75938	0.87262
GDF1	4	0.37916	1.3706	0.11038	0.60799	0.17049	0.634
NSMCE2	4	-1.1192	-2.6641	0.013425	0.20532	0.0077199	0.19267
IFITM10	4	-0.29304	-1.0986	0.47534	0.91397	0.27193	0.63891
ELF4	4	-0.25737	-1.8711	0.54102	0.9326	0.061335	0.535
C8orf48	4	0.34873	1.3756	0.13768	0.65353	0.16896	0.634
CDADC1	4	0.12953	0.45038	0.52476	0.92856	0.65244	0.81138
SAMD10	4	-0.2058	-0.78197	0.64375	0.95475	0.43423	0.72112
EXO5	4	0.34105	1.4209	0.14688	0.66946	0.15535	0.634
CCM2L	4	-0.16695	-0.60694	0.72718	0.97417	0.54389	0.77483
LRIT2	4	0.28186	0.83455	0.2231	0.75974	0.40397	0.70143
SLC7A4	4	-0.31312	-1.5532	0.44158	0.9005	0.12038	0.634
MAGIX	4	0.063403	0.61117	0.68894	0.96665	0.54109	0.77382
ANKRD65	4	0.45662	1.4518	0.05723	0.45584	0.14656	0.634
SPIB	4	-0.25539	-1.4702	0.5441	0.93275	0.1415	0.634
TSKU	4	-0.057735	-0.52227	0.99016	0.99965	0.60148	0.79229
CNTFR	4	0.21477	1.1875	0.34154	0.8562	0.23502	0.634
WDR47	4	-0.011793	-0.072306	0.89235	0.99393	0.94236	0.9744
NFATC2IP	4	-0.43839	-1.8465	0.27287	0.80654	0.064819	0.54683
CST9L	4	0.29443	1.2017	0.2059	0.74376	0.22949	0.634
EFHB	4	0.54117	1.2855	0.024513	0.29189	0.1986	0.634
KCNN2	4	0.15677	1.1685	0.4635	0.90953	0.24262	0.6342
PPARG	4	0.1843	0.82547	0.40294	0.88782	0.40911	0.70561
CKAP5	4	-0.46049	-1.2315	0.24975	0.78458	0.21812	0.634
TAF11	4	-0.52057	-2.1935	0.19372	0.72673	0.02827	0.38287
ESCO2	4	-0.28363	-1.9994	0.4916	0.91945	0.045567	0.47133
MAPKAPK5	4	-0.29673	-0.94015	0.46922	0.91064	0.34714	0.66835
RFX7	4	-0.17836	-1.4252	0.70033	0.96751	0.1541	0.634
ASPH	4	-0.039558	-0.2753	0.96226	0.99826	0.78308	0.88556
HPS4	4	0.15731	1.0943	0.46221	0.90953	0.27382	0.63891
MOB1B	4	0.24655	0.68398	0.28212	0.81299	0.49399	0.75599
C1orf86	4	-0.67318	-2.1594	0.10188	0.59386	0.030818	0.39833
ASB4	4	0.34494	1.2617	0.14265	0.66213	0.20705	0.634
FRS3	4	0.14952	0.68831	0.47887	0.91521	0.49126	0.75511
LCN12	4	0.11311	1.1464	0.56504	0.93746	0.25162	0.63489
ARMS2	4	0.39289	1.4734	0.098846	0.58643	0.14066	0.634
KIAA0232	4	0.14316	0.7993	0.49349	0.92069	0.42412	0.71662
ICMT	4	0.67194	1.0772	0.0053699	0.11273	0.28141	0.639
DNAJC2	4	-0.7927	-2.0521	0.060362	0.4688	0.040162	0.44802
RASGEF1C	4	-0.016752	-0.060075	0.90627	0.99393	0.9521	0.97917
COX15	4	-2.0202	-3.0853	4.9722e-05	0.0044248	0.0020334	0.092946
GEMIN2	4	-0.94961	-1.8652	0.028839	0.31921	0.062154	0.53912
RNF7	4	0.63645	1.159	0.0082041	0.14878	0.24646	0.63489
ZNF230	4	0.14745	0.92636	0.48399	0.91755	0.35426	0.67239
PAPSS2	4	0.0017947	0.0060973	0.85516	0.98982	0.99514	0.99776
NDST4	4	0.29439	0.92096	0.20595	0.74376	0.35707	0.67322
NME7	4	0.59107	1.199	0.013624	0.20773	0.23053	0.634
SLC22A2	4	0.18522	0.7374	0.40076	0.88765	0.46088	0.73743
INHBB	4	0.014298	0.12743	0.8212	0.98743	0.8986	0.95171
NDUFB8	4	-1.4582	-2.7922	0.0025855	0.075912	0.0052346	0.15643
TMEM207	4	0.66365	1.2523	0.0056683	0.11668	0.21045	0.634
ZNF266	4	0.10815	1.0375	0.57722	0.93818	0.29951	0.64531
GPALPP1	4	-0.21461	-1.5343	0.6252	0.95125	0.12496	0.634
GRHPR	4	0.25525	1.145	0.26715	0.80194	0.25221	0.63489
ITSN2	4	0.25002	0.8303	0.27695	0.80988	0.40637	0.70311
TSR2	4	-1.5403	-2.6399	0.0015911	0.054187	0.0082935	0.19844
OR2S2	4	0.50945	1.18	0.034606	0.35546	0.238	0.634
WDR53	4	-0.25423	-0.9982	0.54644	0.93452	0.31818	0.65418
CREBBP	4	0.4224	1.2684	0.076422	0.51958	0.20465	0.634
RCN1	4	-0.59174	-2.0898	0.14499	0.66644	0.036633	0.43136
HBG1	4	0.00067265	0.0066845	0.8578	0.99002	0.99467	0.99749
THOC7	4	-1.028	-1.7342	0.019889	0.2609	0.082889	0.60575
MADCAM1	4	-0.078557	-0.40625	0.93904	0.99594	0.68456	0.82869
DDIAS	4	-0.038713	-0.39076	0.96052	0.99826	0.69597	0.83584
C8A	4	0.31155	1.4697	0.18079	0.71375	0.14164	0.634
KCNN3	4	-0.17756	-1.8968	0.70252	0.96854	0.057852	0.52102
HRASLS	4	0.23268	1.0787	0.30693	0.83505	0.28072	0.63898
CHMP6	4	-1.9263	-3.2954	0.00014916	0.011029	0.00098295	0.061779
ZCCHC18	4	0.24178	0.97744	0.29052	0.82157	0.32835	0.65876
TUBB6	4	0.19828	0.5815	0.37465	0.87576	0.5609	0.77985
GRIK4	4	0.48703	1.2569	0.04291	0.39634	0.20878	0.634
TBC1D22B	4	0.39994	1.3736	0.093526	0.57295	0.16955	0.634
PASK	4	0.076484	0.50464	0.65538	0.9566	0.61381	0.79486
TIMP2	4	-0.062752	-0.27288	0.97688	0.99888	0.78494	0.88678
UGT1A8	4	0.029824	0.19708	0.78013	0.98108	0.84377	0.92077
MAP6	4	-0.36497	-1.072	0.36421	0.86945	0.2837	0.63926
KSR2	4	0.088013	0.53473	0.62729	0.95136	0.59284	0.78893
RSPH6A	4	-0.05865	-0.34306	0.98782	0.99965	0.73156	0.85642
TOP2A	4	-3.2499	-4.9361	0	0	7.9681e-07	0.00059354
KRTAP4-7	4	-0.25696	-1.3475	0.54162	0.9326	0.17781	0.634
MZF1	4	-0.37999	-1.1993	0.34194	0.8562	0.23041	0.634
GTF3A	4	-0.87428	-1.7349	0.040523	0.38516	0.082761	0.60575
IL17RC	4	0.46346	1.1812	0.053351	0.43885	0.23751	0.634
TRAPPC9	4	-0.17111	-0.76087	0.71689	0.97086	0.44673	0.72936
TRIL	4	0.16615	1.474	0.44232	0.9005	0.14048	0.634
FZD6	4	0.29557	1.3197	0.20361	0.74033	0.18694	0.634
PRR5-ARHGAP8	4	-0.31989	-1.1254	0.43034	0.89814	0.2604	0.63562
HTR1A	4	-0.083416	-0.79349	0.92537	0.99393	0.42749	0.71881
C5	4	-0.0025945	-0.019278	0.8667	0.99176	0.98462	0.99294
PTPN21	4	-0.40186	-1.3707	0.31573	0.84175	0.17046	0.634
HOXA10	4	0.058581	0.38212	0.70192	0.96825	0.70237	0.83906
MORF4L2	4	0.14293	0.79769	0.49413	0.92079	0.42505	0.71737
SYCP3	4	0.17448	1.186	0.42403	0.89486	0.23561	0.634
TDP1	4	-0.071018	-0.78283	0.95719	0.99777	0.43373	0.72112
EME1	4	-0.1783	-1.1694	0.70053	0.96752	0.24225	0.6342
CDH1	4	0.13429	1.5067	0.51352	0.92502	0.13188	0.634
PDE7A	4	0.11552	0.61631	0.55882	0.9366	0.53769	0.77224
SAC3D1	4	-0.17239	-0.92195	0.7143	0.97086	0.35655	0.67314
ZNF469	4	0.17751	1.1598	0.41786	0.89381	0.24613	0.63489
RFT1	4	-0.9621	-2.0158	0.026899	0.30721	0.043823	0.46266
CEP290	4	-0.23989	-0.5447	0.57344	0.93779	0.58596	0.78631
PATE1	4	0.63361	1.1316	0.0084527	0.15084	0.2578	0.63519
SKP1	4	-1.3522	-2.3806	0.003928	0.093491	0.017285	0.3002
MAGEB10	4	0.17568	0.61537	0.42174	0.89407	0.53831	0.77241
PIP4K2B	4	0.057426	0.32048	0.70555	0.96933	0.74861	0.86628
SLC38A7	4	-0.17619	-0.7869	0.70595	0.96955	0.43134	0.72012
KANK4	4	0.11907	1.3921	0.55131	0.93455	0.16389	0.634
COX16	4	-0.82578	-1.7728	0.050716	0.42767	0.076255	0.58598
ZER1	4	-0.21671	-1.1841	0.62127	0.95125	0.23639	0.634
PYCARD	4	-0.21609	-0.92949	0.62251	0.95125	0.35263	0.67154
KCNB1	4	0.28522	1.0665	0.21833	0.75399	0.28619	0.64068
SLC45A3	4	0.17962	1.0766	0.41304	0.89188	0.28166	0.639
METTL25	4	0.074591	0.31073	0.65956	0.9579	0.756	0.87003
CFDP1	4	-0.30612	-1.2454	0.45311	0.9044	0.21297	0.634
ISG20L2	4	-1.0912	-2.1825	0.015066	0.21909	0.029073	0.38698
LGALS3BP	4	-0.20267	-1.5859	0.64941	0.95475	0.11276	0.634
CYB5B	4	0.041508	0.22555	0.74915	0.9778	0.82155	0.90877
CHAT	4	0.41601	0.85953	0.081245	0.53492	0.39005	0.69226
AGAP9	4	-1.2845	-2.3026	0.0055688	0.1157	0.021299	0.33185
KATNAL1	4	0.030929	0.24678	0.77705	0.98101	0.80508	0.89842
LRRTM3	4	0.013935	0.15754	0.82225	0.98743	0.87482	0.93969
VN1R2	4	0.099525	0.45194	0.59994	0.94713	0.65131	0.81092
KIF24	4	0.76893	0.83112	0.0014419	0.051601	0.40591	0.70308
SDHD	4	-1.3157	-2.598	0.0046738	0.10503	0.0093757	0.21296
ADA	4	0.53191	1.025	0.027198	0.30921	0.30539	0.64705
GTF2I	4	-0.18696	-1.1772	0.68412	0.96507	0.2391	0.6342
OR6K3	4	-0.013331	-0.053643	0.89713	0.99393	0.95722	0.98112
YWHAH	4	0.31588	0.87003	0.17502	0.70593	0.38428	0.68889
SIPA1L2	4	-0.030691	-0.237	0.94053	0.99631	0.81265	0.90325
C9orf64	4	-0.040955	-0.15039	0.96629	0.99826	0.88045	0.94257
ZNF852	4	-0.12715	-0.51926	0.81762	0.9868	0.60358	0.79269
GHRHR	4	0.13126	1.6296	0.52063	0.92668	0.10319	0.634
KBTBD4	4	0.11646	0.78444	0.55663	0.93557	0.43278	0.72086
FOXI3	4	-0.11137	-0.45573	0.85511	0.98982	0.64858	0.80945
WASF2	4	-0.69938	-1.8262	0.09099	0.56309	0.067817	0.55422
GLIS1	4	0.29903	1.1664	0.19814	0.73281	0.24343	0.63464
CTBP2	4	-0.43052	-1.9942	0.28152	0.81299	0.04613	0.47341
MEPE	4	0.18559	0.76231	0.39961	0.88699	0.44588	0.72883
ADAMTS9	4	-0.010079	-0.07423	0.88703	0.99354	0.94083	0.97367
GAS2L2	4	0.088624	0.63646	0.62599	0.95125	0.52448	0.76785
TRMT44	4	0.20538	1.4453	0.35954	0.867	0.14836	0.634
PTGFRN	4	-0.072789	-0.30666	0.95326	0.99776	0.7591	0.87235
LDLRAP1	4	0.20601	0.72877	0.35829	0.8664	0.46614	0.74021
FAM196A	4	-0.070292	-0.7962	0.95893	0.99826	0.42592	0.71808
S100A7A	4	0.048449	0.39712	0.72917	0.97422	0.69128	0.83265
SRC	4	-0.86077	-2.2292	0.043307	0.39681	0.025803	0.36316
CHKA	4	-0.27094	-1.2111	0.51596	0.92502	0.22588	0.634
KDELC1	4	0.089399	0.64272	0.62401	0.95125	0.5204	0.76643
ADGRB3	4	0.57411	1.2645	0.017303	0.24083	0.20606	0.634
KRT33B	4	-0.12134	-0.63255	0.8308	0.98743	0.52702	0.76797
OR2K2	4	0.17436	0.81343	0.42442	0.89513	0.41597	0.71111
FAM166A	4	-0.049027	-0.45717	0.98638	0.99965	0.64755	0.80891
HOGA1	4	-0.015445	-0.07369	0.90294	0.99393	0.94126	0.97379
EHF	4	0.25395	1.1995	0.26924	0.80243	0.23033	0.634
PDE9A	4	-0.021361	-0.09639	0.91801	0.99393	0.92321	0.9651
MSH3	4	0.13689	0.69012	0.50736	0.92468	0.49012	0.7547
TPPP2	4	0.34167	0.78257	0.14613	0.66765	0.43388	0.72112
PDSS2	4	-1.1752	-2.1274	0.0096957	0.16442	0.033388	0.4152
ADAMTS20	4	0.78809	1.0824	0.0012928	0.048237	0.27908	0.63891
SLC3A1	4	-0.01121	-0.088951	0.89096	0.99393	0.92912	0.96796
SNX2	4	-0.050943	-0.42865	0.9919	0.99965	0.66817	0.81964
HEXIM1	4	-0.80691	-2.5734	0.055489	0.4477	0.010069	0.22402
SMARCD2	4	-0.32922	-1.4501	0.41657	0.89381	0.14704	0.634
FAM26F	4	0.16246	0.95922	0.45038	0.9044	0.33745	0.66298
C1QTNF9B	4	-0.31958	-1.755	0.43079	0.89814	0.079265	0.59389
ARMCX1	4	0.12289	0.46475	0.54196	0.9326	0.64211	0.80592
PPAN	4	-1.89	-3.4669	0.00044749	0.026946	0.00052652	0.043689
G6PC3	4	0.10744	0.80077	0.57886	0.93895	0.42327	0.7159
GTF2H3	4	-0.95689	-2.0218	0.027745	0.31261	0.043196	0.45926
FAM92A1	4	0.062711	0.42035	0.69128	0.96665	0.67423	0.82337
C9orf78	4	-0.24091	-1.0853	0.57145	0.93767	0.27778	0.63891
PIM1	4	-0.4069	-1.7872	0.30962	0.83696	0.0739	0.57756
CENPC	4	-0.33392	-0.97878	0.40976	0.89053	0.32769	0.65876
COL17A1	4	0.072344	0.55542	0.66448	0.95909	0.57861	0.78386
TOR1A	4	0.42226	1.2899	0.076521	0.51958	0.1971	0.634
FAM218A	4	0.14576	0.46759	0.48797	0.91923	0.64008	0.80548
BRI3BP	4	-0.20633	-0.67283	0.6424	0.95475	0.50105	0.75944
C2orf71	4	-0.19695	-0.91118	0.66269	0.9589	0.3622	0.67611
UHRF1BP1L	4	0.19651	1.1988	0.37823	0.87655	0.23059	0.634
ADRBK1	4	-0.25864	-1.2836	0.53868	0.9326	0.19928	0.634
SPCS1	4	-0.082503	-0.29666	0.92756	0.99393	0.76673	0.87726
GAGE2D	4	-0.56244	-2.3819	0.16423	0.69237	0.017222	0.29989
DIRAS1	4	0.25469	1.2693	0.2682	0.8022	0.20433	0.634
BVES	4	0.70793	1.191	0.0032319	0.083333	0.23367	0.634
FLG2	4	-0.22212	-0.91148	0.60884	0.94829	0.36204	0.67602
ALS2CR12	4	-0.24747	-0.68827	0.55917	0.9367	0.49128	0.75511
SLC2A11	4	-0.0075313	-0.062118	0.88007	0.99232	0.95047	0.97849
LSM5	4	-0.78347	-1.6013	0.062649	0.47493	0.10931	0.634
SCN3B	4	0.35207	0.57558	0.13475	0.64941	0.5649	0.78078
EFNA1	4	0.17839	0.49501	0.41597	0.89314	0.62059	0.79743
KLRC1	4	0.28034	0.76977	0.22529	0.76087	0.44144	0.72623
ADPRHL1	4	0.20227	1.2188	0.36635	0.87061	0.22292	0.634
OSBPL3	4	-0.29816	-1.3667	0.46689	0.91036	0.1717	0.634
BHLHE41	4	0.53549	1.2174	0.026203	0.3034	0.22344	0.634
TRPM5	4	-0.060281	-0.80802	0.98399	0.99965	0.41908	0.71294
LMBRD1	4	0.49123	0.95233	0.041219	0.38847	0.34093	0.66489
PTGDS	4	-0.1374	-0.76394	0.7947	0.98321	0.4449	0.72813
PLIN3	4	0.093889	0.62373	0.61207	0.9486	0.53281	0.7702
SEMA3B	4	-0.17197	-1.2806	0.71549	0.97086	0.20035	0.634
FABP6	4	0.10016	0.62133	0.59785	0.94618	0.53438	0.77108
LIMA1	4	0.64378	1.3226	0.0071599	0.13433	0.18598	0.634
CHID1	4	0.10884	0.83097	0.57538	0.93779	0.40599	0.70308
RESP18	4	0.078255	0.16144	0.6516	0.95548	0.87175	0.93826
CSNK1E	4	-0.11988	-0.57205	0.83502	0.98743	0.56729	0.78121
MED30	4	-1.6967	-2.7616	0.00074582	0.036765	0.0057517	0.16495
TAF15	4	0.13421	0.7188	0.51377	0.92502	0.47226	0.74367
GFI1	4	0.30097	0.87319	0.1958	0.73036	0.38256	0.68785
TAS2R30	4	0.52035	1.3239	0.030678	0.33297	0.18555	0.634
CHD6	4	-0.061774	-0.31802	0.98006	0.99934	0.75047	0.86739
WDFY4	4	0.21934	1.0882	0.33115	0.84889	0.27652	0.63891
CHRNA1	4	0.32455	1.332	0.16508	0.69263	0.18286	0.634
ANAPC5	4	-1.0356	-1.9761	0.019193	0.25528	0.048144	0.48201
CDCP1	4	0.5101	1.0114	0.034407	0.35505	0.31184	0.65095
HAUS8	4	-2.0354	-3.0222	4.9722e-05	0.0044248	0.0025091	0.10579
PDDC1	4	-0.016001	-0.17895	0.90453	0.99393	0.85797	0.9302
C11orf45	4	0.074776	0.90723	0.65926	0.95775	0.36428	0.67689
DLX3	4	0.21743	1.0492	0.33582	0.85224	0.29409	0.64423
AP1B1	4	0.022384	0.12954	0.79793	0.98352	0.89693	0.95133
VTN	4	0.026705	0.22146	0.78764	0.98288	0.82473	0.91076
APOBR	4	0.18739	1.2072	0.39673	0.88587	0.22734	0.634
PPP2R5E	4	0.019124	0.27718	0.80793	0.98555	0.78164	0.88531
MPV17	4	0.24007	0.77027	0.29395	0.82437	0.44114	0.72604
GPR82	4	0.083454	0.44907	0.63862	0.95395	0.65338	0.81206
MAGEB17	4	0.31176	1.1625	0.18039	0.71375	0.24501	0.63489
CT47A11	4	-0.73607	-2.2586	0.07677	0.52017	0.023909	0.35048
KCNA10	4	0.18631	0.3793	0.39857	0.88675	0.70446	0.84044
MAD2L2	4	-0.75281	-1.5283	0.072444	0.50962	0.12644	0.634
PPP4R4	4	0.35951	0.75102	0.12749	0.63829	0.45264	0.73243
RPTOR	4	-1.1613	-2.7528	0.010591	0.17459	0.0059087	0.16785
DAPK2	4	0.088997	0.37254	0.62505	0.95125	0.70949	0.84301
NIPAL3	4	-0.25454	-1.514	0.54559	0.93379	0.13002	0.634
CHCHD6	4	0.28288	1.4749	0.22141	0.75744	0.14024	0.634
EDEM1	4	0.058968	0.34253	0.70068	0.96759	0.73195	0.85647
PTK6	4	0.11795	0.40154	0.5536	0.93544	0.68802	0.83098
CCDC179	4	0.25038	1.0203	0.27625	0.80956	0.30758	0.64863
ARL14EPL	4	0.69297	1.1517	0.003928	0.093491	0.24945	0.63489
TP53TG5	4	-0.01526	-0.10374	0.90245	0.99393	0.91737	0.96193
CSTA	4	-0.35194	-1.8321	0.38256	0.87712	0.06693	0.55231
FAM228A	4	0.24328	1.1308	0.28824	0.8196	0.25814	0.63522
SPDYE3	4	-0.46627	-1.4057	0.24438	0.78053	0.15982	0.634
BIVM-ERCC5	4	0.2618	1.4575	0.25438	0.78873	0.14499	0.634
SCYL3	4	-0.020654	-0.069667	0.91682	0.99393	0.94446	0.97508
PSMB7	4	-2.5061	-3.7701	0	0	0.00016321	0.022638
ALPK1	4	0.06051	0.38418	0.6961	0.96699	0.70085	0.83847
KHK	4	0.48071	1.3743	0.045893	0.41111	0.16935	0.634
PAK1IP1	4	-1.5829	-2.6339	0.001243	0.04771	0.0084416	0.1995
GPR182	4	-0.026211	-0.18181	0.92964	0.9941	0.85573	0.92884
TRAF4	4	-0.704	-2.5099	0.089151	0.55867	0.012075	0.24535
MKRN3	4	0.34926	1.546	0.13733	0.65296	0.1221	0.634
UBE2Z	4	0.04005	0.1295	0.75283	0.9778	0.89696	0.95133
PRR23D2	4	-0.090031	-1.021	0.90861	0.99393	0.30728	0.64847
PON3	4	0.22793	0.95515	0.31663	0.84199	0.3395	0.6641
ZNF808	4	0.44795	1.084	0.061854	0.47139	0.27836	0.63891
VSX2	4	-0.38195	-1.2637	0.34005	0.85584	0.20634	0.634
SPINK7	4	-0.27417	-0.74736	0.51024	0.92468	0.45484	0.73291
HIST1H1E	4	-0.28566	-1.0889	0.48856	0.91923	0.2762	0.63891
GPS2	4	-0.4222	-1.6919	0.29092	0.82209	0.090668	0.63076
ABCA7	4	-0.14445	-0.93263	0.77784	0.98101	0.35101	0.67039
KRT37	4	0.35427	1.0721	0.13246	0.64582	0.28366	0.63926
6-Sep	4	0.10321	1.1217	0.58905	0.94361	0.26199	0.63562
CHGA	4	-0.073262	-0.23403	0.95227	0.99776	0.81496	0.90435
TMEM86A	4	-0.0027695	-0.010089	0.86739	0.99176	0.99195	0.99587
FBXO40	4	0.38992	1.5174	0.10138	0.59204	0.12917	0.634
ALDH1A2	4	-0.028653	-0.14382	0.93501	0.99482	0.88564	0.94512
POLN	4	0.11149	0.62312	0.56921	0.93746	0.5332	0.77044
PCDH11X	4	0.32285	1.4017	0.16672	0.69388	0.16099	0.634
FZD3	4	0.36573	1.1153	0.12207	0.631	0.26474	0.63658
WFDC11	4	0.35014	1.4017	0.13634	0.6507	0.161	0.634
EIF4A3	4	-1.5604	-2.829	0.0014419	0.051601	0.0046701	0.14932
DMRTA2	4	-0.12048	-0.68157	0.83313	0.98743	0.49551	0.75657
PALM3	4	0.16084	0.69711	0.45386	0.9044	0.48574	0.75222
LHX3	4	0.13607	1.3458	0.5091	0.92468	0.17838	0.634
P2RY11	4	0.35483	1.4098	0.13196	0.64582	0.15861	0.634
XKR5	4	-0.59777	-1.4387	0.14116	0.66139	0.15025	0.634
SASS6	4	-1.3321	-2.2824	0.0041766	0.097335	0.022465	0.34048
C17orf70	4	-1.1341	-2.7937	0.01248	0.19625	0.0052115	0.15629
PLD5	4	0.29268	0.95231	0.20813	0.74418	0.34094	0.66489
DDT	4	-0.35234	-1.3374	0.38236	0.87712	0.1811	0.634
BOLL	4	-0.13888	-0.69281	0.79097	0.98321	0.48843	0.75382
LRRC46	4	-0.041283	-0.27976	0.96694	0.99826	0.77966	0.88445
RUFY3	4	-0.34882	-1.3316	0.38659	0.87978	0.18299	0.634
HTR1B	4	-0.20911	-1.4934	0.63673	0.95362	0.13533	0.634
CRH	4	0.040668	0.22085	0.75134	0.9778	0.82521	0.91085
HPGD	4	-0.15918	-1.1972	0.74388	0.9778	0.23124	0.634
TMEM99	4	0.24673	0.97262	0.28182	0.81299	0.33074	0.66005
NUFIP2	4	0.45993	1.0913	0.055539	0.4477	0.27512	0.63891
SLC35G6	4	-0.47288	-1.7616	0.23717	0.77611	0.078144	0.59066
OSMR	4	0.42931	1.0211	0.072593	0.50995	0.3072	0.64845
MPZL2	4	0.87867	1.1426	0.00034805	0.025	0.25322	0.63489
ZNF789	4	0.14076	0.38752	0.4996	0.92336	0.69837	0.83715
GYG1	4	0.15643	1.0347	0.46385	0.90953	0.30082	0.64531
MRPS24	4	-1.0017	-1.8343	0.022673	0.28106	0.066611	0.55176
PTPRT	4	0.21394	0.69642	0.34303	0.85643	0.48616	0.75259
EN2	4	0.37578	1.2023	0.11272	0.61165	0.22925	0.634
PTPRN2	4	0.11272	0.63077	0.56583	0.93746	0.52819	0.76856
ZNF746	4	-0.39758	-1.7619	0.3212	0.84489	0.078093	0.59066
ARAP1	4	-0.22642	-1.4918	0.60014	0.94713	0.13575	0.634
VPS41	4	-0.50162	-1.7225	0.21037	0.74801	0.084988	0.61264
PRPSAP1	4	-0.059685	-0.41338	0.98513	0.99965	0.67933	0.82594
CDYL2	4	0.033194	0.18492	0.77198	0.98049	0.85329	0.92739
C12orf79	4	-0.066966	-0.52964	0.96689	0.99826	0.59636	0.79056
CEP44	4	0.24996	0.72038	0.27715	0.80988	0.47129	0.74293
TRIM31	4	0.0084011	0.018914	0.83671	0.98743	0.98491	0.99294
CTBP1	4	0.044113	0.17777	0.741	0.9775	0.8589	0.93062
BAZ1B	4	-0.86311	-2.1511	0.043059	0.39634	0.031465	0.40256
CXorf56	4	-0.68962	-1.7414	0.095117	0.57685	0.08161	0.60188
ERAL1	4	-1.2619	-2.6997	0.0064638	0.12658	0.0069407	0.182
NBPF10	4	-1.8309	-3.2774	0.00044749	0.026946	0.0010477	0.063797
TLN2	4	0.0029781	0.0093741	0.85098	0.98902	0.99252	0.99629
ANGPTL4	4	-0.1858	-1.0835	0.68665	0.96587	0.27857	0.63891
SRFBP1	4	-0.14726	-0.95454	0.77208	0.98049	0.33981	0.66443
SPEF1	4	0.32953	1.4608	0.15921	0.68528	0.14406	0.634
