Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
CLPP	6	-0.60964	-3.0694	0.032726	0.19759	0.0021451	0.034866
PRDM13	7	0.063407	0.36674	0.44138	0.77086	0.71381	0.82186
NIM1K	6	0.04265	0.45288	0.56801	0.83445	0.65063	0.77502
RNF115	8	0.053966	0.9521	0.44508	0.7712	0.34105	0.54106
KCNA4	6	0.12899	1.224	0.25726	0.60999	0.22096	0.42222
TUB	8	-0.11481	-1.5986	0.74417	0.90893	0.1099	0.30495
PRPF8	6	-2.1578	-5.2975	0	0	1.1743e-07	1.7193e-05
HSF4	7	-0.17792	-1.3195	0.51224	0.80501	0.18699	0.38766
L3MBTL4	24	0.14952	3.315	0.010529	0.095116	0.00091632	0.018941
ZNF519	6	0.24254	1.692	0.05037	0.25652	0.090653	0.28649
UHRF2	17	-0.04753	-1.094	0.8654	0.96173	0.27393	0.47677
