sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
KMT2C_14736.787,KMT2C,2202,1218
TADA2B_E2_73.0,TADA2B,1694,912
MST1_2178.186,MST1,2278,974
TRIM24_Phd_E15_104.1,TRIM24,5284,2828
TRIM24_3153.132,TRIM24,5284,2828
ZNF217_E3_47.0,ZNF217,4146,1441
RNF217_1629.147,RNF217,2092,1114
MAPK13_PKc_E5_30,MAPK13,1298,538
ZPR1_E9_71.1,ZPR1,2222,960
PHF11_Phd_E3_84.0,PHF11,4102,1625
ZNF705G_E5_162.6,ZNF705G,3156,1510
STK17B_PKc_E2_53.1,STK17B,1060,629
KCNG4_BTB61160_E1_1560.19,KCNG4,3530,1745
ZNF90_E4_996.22,ZNF90,2650,1094
RNF125_699.53,RNF125,2196,903
ARID5A_E6_34.3,ARID5A,1726,1092
HNF1B_E3_116.0,HNF1B,2438,1242
FOXD4L6_E1_234.5,FOXD4L6,5098,2332
