sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
HSF4_E4_109.8,HSF4,932,829
CUL4B_2742.48,CUL4B,1333,1141.8
GATAD2B_E8_203.16,GATAD2B,1288,1155.6
KDM5D_e15_118.1,KDM5D,2773,2844.4
KLK8_134.1,KLK8,1691,1621
KDM5A_e12_163.5,KDM5A,2839,3529.2
ANAPC5_2268.41,ANAPC5,1830,1482.2
KDM5A_Phd3_E28_204.0,KDM5A,493,413.6
ZNF155_E5_750.59,ZNF155,1214,1026
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,721,579.8
UBE2V1_513.26,UBE2V1,1192,1250
CTRB1_792.75,CTRB1,1017,907.8
PRKRIR_E1_80.9,PRKRIR,1159,940.4
TGFBR2_PKc_E8_102.12,TGFBR2,1141,1376.6
HLTF_3030.169,HLTF,1298,1012.4
MMP21_1710.74,MMP21,654,850.2
ZNF200_E5_240.12,ZNF200,1000,765.6
ZNF677_E5_903.12,ZNF677,2584,2148.6
ZNF534_E4_1170.83,ZNF534,631,428.4
MARCH7_2001.91,7-Mar,1615,1251.4
ZNF530_E3_1005.13,ZNF530,2455,2125
PTK7_PKc_E18_152.17,PTK7,221,122.8
PHF19_Phd1_E5_86.9,PHF19,1271,1871.8
FOS_E3_75.1,FOS,796,799.2
KDM1B_e13_75.2,KDM1B,3041,3035.2
ZNF816_E5_999.43,ZNF816,4336,3979.2
KDM4A_tudor9601004_E1_3195.227,KDM4A,1190,1291
UBE2E3_624.10,UBE2E3,2383,2311
LTA4H_1836.192,LTA4H,1278,942.8
HMX2_E2_174.21,HMX2,2663,2052.6
ZIC1_E1_157.1,ZIC1,2420,3567.4
PRMT5_e12_106.10,PRMT5,1797,2146
HM13_1281.181,HM13,852,1399.8
JARID2_E17_108.3,JARID2,1289,1040.2
RAG1_3132.353,RAG1,1421,1210.8
PLK2_PKc_E4_130.5,PLK2,344,249.2
MAP3K9_PKc_E2_412.14,MAP3K9,618,707.8
MAFA_E1_273.9,MAFA,1786,1522.6
MMP24_1938.66,MMP24,1465,1263.6
DOT1L_e7_63.4,DOT1L,1783,1074.4
FBXW5_1701.238,FBXW5,255,266.4
IKZF2_E5_168.5,IKZF2,1650,1268.8
KMT2C_14736.787,KMT2C,1101,1045.2
TADA2B_E2_73.0,TADA2B,847,783.6
MST1_2178.186,MST1,1139,830.2
TRIM24_Phd_E15_104.1,TRIM24,2642,2425.2
TRIM24_3153.132,TRIM24,2642,2425.2
ZNF217_E3_47.0,ZNF217,2073,1245.2
RNF217_1629.147,RNF217,1046,957.6
MAPK13_PKc_E5_30,MAPK13,649,462
ZPR1_E9_71.1,ZPR1,1111,817.2
PHF11_Phd_E3_84.0,PHF11,2051,1396
ZNF705G_E5_162.6,ZNF705G,1578,1303.6
STK17B_PKc_E2_53.1,STK17B,530,538.8
KCNG4_BTB61160_E1_1560.19,KCNG4,1765,1502.4
ZNF90_E4_996.22,ZNF90,1325,934
RNF125_699.53,RNF125,1098,781.8
ARID5A_E6_34.3,ARID5A,863,935
HNF1B_E3_116.0,HNF1B,1219,1061.8
FOXD4L6_E1_234.5,FOXD4L6,2549,1989.8
CSF1R_PKc_E17_98.1,CSF1R,764,781.2
TULP4_E13_120.16,TULP4,1562,1060.4
TULP4_4632.365,TULP4,1562,1060.4
L3MBTL2_MBT511604_E1_2118.165,L3MBTL2,1244,1213.6
ZNF80_E1_411.42,ZNF80,1806,2347.4
KLHL20_BTB59165_E1_1830.16,KLHL20,873,1040
SCYL1_PKc_E3_123.21,SCYL1,554,727.6
ZNF341_E3_81.7,ZNF341,500,464.4
ASPRV1_1032.66,ASPRV1,1540,1532
HOXA3_E3_177.16,HOXA3,963,736.8
ZNF584_E4_495.49,ZNF584,1096,849.2
Nr1h4_E3_153.14,Nr1h4,834,625.6
MAPKAPK2_PKc_E6_76.6,MAPKAPK2,1390,801.2
TRIM48_675.13,TRIM48,1473,1569.4
CDK3_PKc_E6_102,CDK3,584,433.6
ZNF160_E7_1665.108,ZNF160,2415,2621
MTF1_E3_215.12,MTF1,1422,1545.2
HIVEP2_E5_4578.36,HIVEP2,1933,1900.4
ZIC5_E1_118.8,ZIC5,579,601.4
KMT2C_Phd5_E19_134.10,KMT2C,706,674.6
ZNF263_E6_231.13,ZNF263,2194,2791.4
CLPP_834.119,CLPP,2042,2103.4
PRDM9_E11_915.125,PRDM9,1028,1546.8
SFMBT1_MBT23120_E1_2601.33,SFMBT1,1035,840.4
XIAP_1494.25,XIAP,1233,1449.6
UBE4A_3201.57,UBE4A,1472,1437.2
TRIM33_3384.382,TRIM33,416,363.8
