sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
SMN1_Tudor_E5_201.4,SMN1,1219,1619
FBXW9_15,FBXW9,1111,1933
ZNF582_E5_663.39,ZNF582,1450,2452
ANAPC10_2,ANAPC10,1020,2182
RNF112_1896.385,RNF112,1004,2762
ASB10_1404.247,ASB10,801,1987
UBE2J2_828.128,UBE2J2,762,961
CUL9_7554.837,CUL9,546,639
ZNF304_E4_1068.94,ZNF304,1177,2378
PHF7_1146.110,PHF7,780,1363
TRIM13_1224.106,TRIM13,777,1414
SPPL2B_1779.345,SPPL2B,1101,1807
ZNF740_E6_119.3,ZNF740,4972,11520
BTBD1_BTB62175_E1_1449.42,BTBD1,1057,2468
PRKCZ_PKc_E10_98.3,PRKCZ,1180,2077
ZBTB43_E3_216.3,ZBTB43,1506,2550
FBXL18_2157.376,FBXL18,829,2318
STAT6_E12_93.8,STAT6,2672,7780
DCAF17_1362.103,DCAF17,1406,3827
KCTD8_BTB46143_E1_1422.35,KCTD8,605,892
XIAP_3,XIAP,873,1422
JUNB_E1_162.21,JUNB,741,1856
TRIM6-TRIM34_2529.17,TRIM6-TRIM34,1797,3953
TRIM6_1551.17,TRIM6,1797,3953
CBL_2721.248,CBL,2078,5622
CUL4A_2280.31,CUL4A,1549,2765
PhIP_BD1_e32_126.5,PhIP,1554,2772
STAT5A_E12_93.9,STAT5A,2225,3630
ZNF556_E4_492.21,ZNF556,2187,4413
HELLS_D_e9_190.7,HELLS,1624,3708
CAMK2B_PKc_E6_73.6,CAMK2B,1199,2491
ZNF302_E6_495.26,ZNF302,1151,2538
MID1_2004.236,MID1,1061,2502
RXRG_E4_180.4,RXRG,657,1098
ZNF225_E5_1635.25,ZNF225,2946,7181
DAPK1_PKc_E2_44.1,DAPK1,1094,1762
ATF6_E8_162.9,ATF6,1979,3615
ZNF782_E6_1062.1,ZNF782,2050,4680
C1R_2118.175,C1R,657,1013
ZNF74_E5_915.57,ZNF74,821,1035
KCND1_BTB42131_E1_1944.35,KCND1,942,1647
NTRK3_PKc_E15_123,NTRK3,927,2197
TRIM36_2187.183,TRIM36,2283,4021
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,643,995
AGA_1041.86,AGA,1175,2134
SIAH1_942.79,SIAH1,1945,3165
PhIP_BD1_e30_86.1,PhIP,1930,3031
PHIP_5466.190,PHIP,1930,3031
CHD1L_H_e11_74.2,CHD1L,1346,2868
neg49,neg49,5332,8250
RNF34_1122.64,RNF34,667,917
SETMAR_e2_380.5,SETMAR,1490,2152
DTX3L_2223.99,DTX3L,385,634
ERCC6_H_e13_105.0,ERCC6,1537,3040
IKZF5_E5_187.11,IKZF5,1015,1702
ECT2L_2715.251,ECT2L,560,831
BAZ1B_Phd_E15_113.2,BAZ1B,780,2161
NRF1_E5_141.8,NRF1,1700,1997
BRD3_BD2_e7_129.3,BRD3,1706,3188
USP17L15_1680.151,USP17L15,1573,3160
HOXB3_E4_177.12,HOXB3,1014,2402
FGR_PKc_E10_77.7,FGR,1327,2742
